id,codigo,nombre,area,semestre,fila,horasTeoria,horasPractica,creditos,requisitos,correquisitos,esrequisito
IMI0907,MI4125,Laboratorio de sistemas de vapor,TER,9,7,0,2,1,,IMI0906,
IMI0909,CS4402,Seminario de estudios costarricenses,BAS,9,9,3,0,2,IMI0809,,
IMI1009,MI5521,Trabajo final de graduación,BAS,10,9,0,30,12,,,
IMI1101,MI4126,Refrigeración,TER,11,1,4,0,4,,,
IMI1102,MI4127,Laboratorio de refrigeración,TER,11,2,0,2,1,,,
IMI1103,MI5135,Ventilación industrial,TER,11,3,4,0,4,,,
IMI1104,MI5152,Aire acondicionado,TER,11,4,4,0,4,,,
IMI1105,MI5411,Automatismo,ELE,11,5,4,0,4,,,
IMI1106,MI6153,Ahorro energético,GES,11,6,4,0,4,,,
IMI1107,MI6252,Neumática,TER,11,7,4,0,4,,,
IMI1108,MI6253,Fundamentos en administración de proyectos en ingeniería,GES,11,8,4,0,4,,,
IMI1109,MI6254,Sistemas de protección contra incendios a base de agua,TER,11,9,4,0,4,,,
IMI1110,MI6255,Sistemas de control automático,ELE,11,10,4,0,4,,,
